时间,点赞,评论
2022.08.06,3,我们大学就没有 大家都放不开 硕士更没有
2022.06.10,3,"当一个12宿舍里有6个是基佬并形成组织的时候，这个宿舍就全是基佬了[doge]
当一个男生宿舍全是基佬的时候，整个班就都是基佬了[doge]"
2022.05.06,3,无沙雕无大学[滑稽]
2022.04.30,9,寝室大爷留下了羡慕的泪水[doge]
2022.04.29,3,学校以不能聚集为由禁止一切活动了解一下
2022.04.29,9,真踏马羡慕，老子踏马毕业了，现在在家学习考公务员员那，一学一整天[笑哭][笑哭]
2022.04.28,9,@嗜血mmm 有铠甲勇士[墨镜]
2022.04.19,3,好想回到过去
2022.09.26,2,我们学校直接静态管理……[嫌弃]
2022.05.16,2,其他学校不清楚   我只知道我们学校封校期间  宿舍楼里同寝室出了好几对牵手成功的情侣
2022.05.14,2,很棒，看得很开心，那么我该去上班了
2022.04.24,2,青春占十几年，疫情占春春好多年
2022.04.16,4,第三个评论[害羞]
2022.11.19,1,好家伙，这个大学生活是真实存在的吗，因为疫情我们连新生晚会都没有，之前开学第二天无缝衔接军训，现在连校运会都推迟到遥遥无期了[保卫萝卜_哭哭]
2022.10.10,1,好羡慕啊，我的大学好像没有这么多姿多彩
2022.10.05,1,男生女生宿舍怎么可能面对面？
2022.09.19,1,有人在学校里面开卡丁车的嘛[笑哭][笑哭]
2022.09.19,1,好羡慕，好想再回去读两年啊
2022.09.19,1,羡慕无忧无虑
2022.09.17,1,第一个是不是到点了[汤圆]
2022.09.14,1,快乐啊
2022.09.11,1,真羡慕他们，我的校园生活被校园暴力毁的一塌糊涂
2022.09.11,1,求BGM
2022.09.10,1,人能吃饱了能干什么[tv_doge]
2022.09.08,1,我准备下辈子努力考个大学[蛆音娘_哼]
2022.09.02,1,俺大学，我大三的时候开始封校，现在我都工作一年了，还在封校[辣眼睛]
2022.09.01,1,这一身皮套多少钱，有人知道吗
2022.08.31,1,@孝小直 每天带给你快乐哈哈哈哈
2022.08.28,1,那漫天的繁星，我多么希望自己也能成为其中的一颗
2022.08.23,1,氛围看人，看校的，想我那个学校死气沉沉的，除了大一刚来，感觉剩下的大部分都跑图书馆跟考证，还有些就是街溜子样；寝室也是五个啥都能说，日常五黑，还有个孙子回来就鸦雀无声，大家该干嘛干嘛离开寝室最好
2022.08.18,1,可是我们大学没有啊[翻白眼]普通一本没有很拉吧，p活动也没有啊？一天到晚课又满，天天发易班的东西强制让人评论，天天p用没有的晨午检打卡，时间还卡死[翻白眼]
2022.08.08,1,因为不曾拥有过，所以我很羡慕，所以我笑的很开心，就像我经历过
2022.07.29,1,这才叫年轻人嘛  我们那时候上大学规规矩矩   死板的很   难得有几个跳一点的    教务主任还要打压    老夫羡慕不已啊
2022.07.27,1,毕业的看泪目了，我也曾像他们一样，为青春而疯狂
2022.07.21,1,帝皇侠呢
2022.07.16,1,打工人不用太羡慕，大部分大学都是没有这种氛围的，我一个大学生也羡慕的不行[酸了]
2022.07.15,1,封面呢封面呢？？？
2022.07.11,1,我是冲帝皇侠来的，没想到还有假面骑士这个意外收获
2022.06.21,1,没上过大学的苦逼。再也没机会体验了[大哭][大哭][大哭]
2022.06.16,1,我们学校，课一般，没活动，社团烂的不知道怎么形容，还有一门市场营销天天MOOC就是上课了，唯一的娱乐项目是找熟人打麻将……南财红山
2022.06.11,1,他们怎么这么闲，游戏任务肝完了吗[微笑]
2022.06.10,1,放条耗资100万的大龙。。。不好意思来错片场了
2022.06.10,1,我决定，我要努力两年读上211[打call]
2022.06.01,1,你能信这些生物是一颗星球的霸主[doge]
2022.05.28,1,假面骑士！
2022.05.22,1,我都在家呆了六个多月了[笑哭]
2022.05.14,1,第一个 初中住宿的时候，对面男寝就有个学长喊“对面的寝室喜欢我的请为我留灯”，然后我室友在那个学长还没喊完的时候就把灯关了（关键是这时候她还没听见），对面那个学长的室友看见了对那个学长喊了一句：“你看对面学妹把灯给关了”[脱单doge]
2022.05.05,1,迪迦！迪迦！！！
2022.05.05,1,酸了，想马上回去
2022.05.02,1,小学生觉得幼稚的，大学生觉得刚刚好[OK]
2022.04.25,1,高中生也没这么快乐
2022.04.24,1,哈哈一手外卖估计不少儿子[笑哭][笑哭]
2022.04.22,1,[狐妖_沙发]
2022.04.22,1,[原神_喝茶]
2022.04.20,1,他们的生活千姿百态，但都无一例外是青春的样子
2022.04.20,1,酸了，别人的封校生活丰富多彩，我的封校生活就是每天三点一线（宿舍/教室/食堂）[藏狐]
2022.04.16,1,大家好[doge]
2022.04.16,1,前排，赶紧占个[doge]
2022.04.16,1,那我就六了[嗑瓜子]
2022.04.16,1,第二个评论[脱单doge]
2022.04.16,3,第一个评论，[脱单doge]
2022.04.22,1,[原神_欸嘿]
2022.04.22,1,（☆?☆）谢谢老板
2022.04.22,1,∠( ? 」∠)_看戏
2022.11.23,0,社畜羡慕…[难过]
2022.11.23,0,我们校长说是p的[蛆音娘_吃瓜群众]
2022.11.22,0,不想封校，即使再欢乐也是苦中作乐，我们只想要自由
2022.11.21,0,表示学法医的跟这种关系
2022.11.20,0,就是因为帝皇侠进来的[脱单doge]
2022.11.20,0,因为疫情才有这些活动啊，为什么看这个视频弹幕都觉得除了疫情都挺好的，疫情可是别样的青春啊，放宽点视角，这是前无古人的体验
2022.11.16,0,44秒这个好像是辽师后山公寓
2022.11.15,0,听着听着就哭了
2022.11.12,0,可惜已经毕业啦[大哭]
2022.11.08,0,"没有太多的问题
要不要和我在一起那个是什么舞"
2022.11.06,0,封寝，现在绝望到研究舍友的裤头能不能培育小花[藏狐]
2022.11.06,0,封寝的表示，已经无聊到学习
2022.11.05,0,医学生表示自己只有蓝色生死恋[微笑]
2022.11.03,0,准大学生别太羡慕，到了大学后你会发现你对你舍友的最高评价是正常人[doge]
2022.11.02,0,我们封校连寝室门都出不去[大哭]
2022.11.02,0,封校不可能有这么多人聚集的，我大学封校，十几个人进行舞蹈排练都不行，这种就更不可能了，而且全程没几个带口罩?，麻烦别误导别人
2022.10.31,0,学生：老师，真的，楼下真有个帝皇铠甲[脱单doge]
2022.10.24,0,大学不疯，以后就没什么机会疯了，青春偶尔疯一疯没关系
2022.10.24,0,哈，从小被欺负到大连高中都没念完鹅鹅鹅
2022.10.23,0,我也想和五个铠甲勇士走一起
2022.10.21,0,初看不知屏中意，再看已是封寝人[大哭]
2022.10.21,0,医学生表示为什么你们大学是这样的，我大学是五年高三[doge]
2022.10.19,0,[热词系列_知识增加]
2022.10.18,0,@科权
2022.10.17,0,好家伙，五个骑士护[脱单doge]
2022.10.10,0,歌名，歌名是什么？
2022.10.10,0,读书的时候真好
2022.10.09,0,只能说 大学有不错的室友都很好了[捂脸]
2022.10.07,0,求歌名
2022.10.06,0,我当初上学的时候也有过比较厉害的流行病，H1N1禽流感，也闹挺厉害。还有多少人记得那个事儿啊？自己掏钱打疫苗。一针好像还不便宜啊，至少对于当时的我不便宜，两百多。
2022.10.05,0,[打call][打call][打call]假面骑士啊啊啊啊！！！！有没有是女孩子也喜欢假面骑士的[doge]
2022.10.04,0,请你们好好珍惜这四年[tv_大哭]
2022.10.03,0,我是刚毕业就遇上疫情了，这张还没体验过
2022.10.02,0,太帅了吧！！我爱铠甲勇士
2022.10.01,0,笑死，封校上课都得戴口罩。聚集活动？根本不可能
2022.09.25,0,真好啊，今年刚毕业
2022.09.25,0,求BGM
2022.09.25,0,@疯疯的小电视
2022.09.22,0,帝皇铠甲太帅了[喜欢]
2022.09.22,0,真好，不像我就只会在宿舍里坐着坐到毕业[哈欠]
2022.09.19,0,即使封校也要过泼水节[喜极而泣]（云南学生の坚持）
2022.09.19,0,第一个好像什么相亲节目[笑哭]
2022.09.19,0,学校是最快乐的  好好珍惜吧  进入社会就要被毒打了
2022.09.17,0,感觉也就大一可以放松玩一玩，从大一下学期开始就全都在卷[辣眼睛]（计算机专业）
2022.09.17,0,不知道该羡慕还是幸运，19年末就有疫情了，但我当年就已经毕业了。
2022.09.15,0,好家伙我们大学也封校，但是我们校区没有北校区的好玩
2022.09.15,0,真好
2022.09.14,0,@zero艾斯德斯
2022.09.14,0,这歌  有啥内涵吗  不好听
2022.09.14,0,打工人不羡慕，因为也是这样过来的，从风趣幽默变成沉默寡言了，以前一起疯的兄弟都为了生活奔波，一个人也不能这样疯，所以沉默寡言
2022.09.12,0,舍管你来当吧
2022.09.12,0,上学期只有我们省外学生被封在学校，学校里都没啥人[藏狐]
2022.09.11,0,还是回到十八岁好啊[辣眼睛]
2022.09.10,0,最后再刷个评论，正好第985条，蹭点点运气吧
2022.09.10,0,现高三了，回想起这几年的高中生活是这么无聊，每天都很没干劲，什么青春，活力，感觉都与我无关，丝毫没有动力，只想按着怎样舒服怎么来，每天老是幻想自己成为了动漫主角，要么就打游戏，刷视屏让大脑分泌多巴胺来麻痹自己，虽然很多事又知道这么做不对，自己应该像同学一样卷起来，对自己的现状不满意，想改变，却又付出不了长期的努力，有时我会这样想，也许这就是我的命吧，但我又觉得这么颓废，不该像是一个时间充裕，有着无限可能的少年的样子，真的是矛盾，也是希望有人能骂我一顿
2022.09.10,0,这样的大学生活真是让人向往啊
2022.09.10,0,令人陶醉的青春。
2022.09.10,0,《社牛yyds》
2022.09.10,0,羡慕啊~有学上[笑哭]
2022.09.09,0,[热词系列_打卡]
2022.09.08,0,[热词系列_害]我上了个假大学
2022.09.07,0,我在学校没见过这场面
2022.09.08,0,[热词系列_害]我上了个假大学
2022.09.07,0,我在学校没见过这场面
2022.09.07,0,我三年都没有享受过这样的大学生活，我觉得根本没有这种东西[吃瓜]
2022.09.05,0,我们的青春永远不孤单[打call][打call][打call]
2022.09.05,0,这辈子是没机会体验了 下辈子再上一次大学 一定要快乐！
2022.09.05,0,那位看爆笑虫子吃饭的真是勇士
2022.09.01,0,有这时间的都是大一新生
2022.09.01,0,凭一己之力关了整栋楼的闸太强了
2022.09.01,0,留爪
2022.08.31,0,好羡慕啊，而我当时还要在宿舍忍受校园暴力[大哭]
2022.08.27,0,明天大学就报道了，期待一下
2022.08.23,0,这可能是最特殊的一届大学生了正好撞上疫情
2022.08.22,0,有时候自己想去疯一把也很重要，初中毕业晚会那天我穿着cos服进报告大厅，一千多人在那里，我走着都能听到一堆人说卧槽，666之类的话[脱单doge]最畜牲的是有个学弟拍照放到学校墙上了[笑哭]，我朋友在我旁边，但是他们不敢穿[热词系列_我哭了]后面也穿着另一件cos服回去学校看老师，有一说一，确实尬，不过想想真的挺好玩的，我和我朋友现在谈到这个都绷不住[吃瓜]
2022.08.22,0,想问一下有这种氛围的学校（穿皮套一起跳舞之类的）一般是哪种，挺好奇，我想了解一下[微笑][微笑][微笑]
2022.08.18,0,看着笑着笑着就哭了[大哭]好想念一大群人一起玩的时候
2022.08.17,0,封面好帅
2022.08.10,0,操场跳舞影响我乐跑心情[doge][doge]我只觉得他们吵闹[嗑瓜子]
2022.08.09,0,这个帝皇侠不是我们学校的吗[辣眼睛][辣眼睛][辣眼睛]
2022.08.09,0,我带学连个像样的社团都没有，更别提社团活动室[doge]
2022.08.09,0,中间那一排关的非常的快呀
2022.08.03,0,[无语]这样的室友虽然没有，但是我有要命的兄弟
2022.08.01,0,95后的我  太羡慕这时候大学生了
2022.07.28,0,好羡慕他们能有一起玩的朋友[保卫萝卜_哭哭]
2022.07.26,0,整挺好
2022.07.26,0,我大学跟舍友去超市，一拍脑门买了3把小水枪，从宿舍门口滋到校门口又滋回来[笑哭]还好是大晚上的不然社死了，乐确实是挺乐的
2022.07.26,0,可惜了我学习不好读完初中就没读了，我连高中都不知道是啥样
2022.07.20,0,再也回不去了[大哭]
2022.07.20,0,"打工人不用太羡慕，大部分大学都是没有这种氛围的，我一个大学生也羡慕的不行[滑稽]

除非有一天我能成为苏黎世理工大学潘周聃"
2022.07.19,0,Bgm是那个版本的呀，网易云有没有呀[星星眼]
2022.07.18,0,我们学校感觉全是卷王[笑哭]
2022.07.18,0,大学快毕业的那些风丸，初中快毕业的那些爆惨
2022.07.18,0,为什么别人分享弄快乐？我一初中生分校苦不堪言
2022.07.17,0,啥音乐啊
2022.07.17,0,很高兴认识你们@不卑不亢的一天 @瑰萝 @谦与千虚 @黑糖侠 @灰鹞的乐真
2022.07.15,0,举办
2022.07.14,0,什么歌？
2022.07.13,0,毕业啦
2022.07.09,0,咱们学校整天在学校里寝室里，直接一直玩电脑睡觉挂网课
2022.07.09,0,好羡慕啊 不知道我以后大学能不能这样 今年刚高中毕业[藏狐]
2022.07.05,0,104个人和我一起观看。[偷笑]
2022.07.09,0,好羡慕啊 不知道我以后大学能不能这样 今年刚高中毕业[藏狐]
2022.07.05,0,104个人和我一起观看。[偷笑]
2022.07.01,0,真青春啊[酸了]
2022.06.29,0,全疯了！[脱单doge]
2022.06.28,0,@我是人间小丧气 大学生活也是挺美好的
2022.06.26,0,帝皇yyds
2022.06.24,0,帝皇侠的有原视频吗？
2022.06.24,0,bgm是什么求求了
2022.06.22,0,好羡慕
2022.06.19,0,他们真的好快乐！我也想这么快乐qvq
2022.06.19,0,我学校根本没封过[摩羯座_叹气]
2022.06.17,0,笑死，根本根本回不去学校
2022.06.16,0,BGM：别叫我达芬奇
2022.06.16,0,是还没到大学，高中也没到，才初中，羡慕啊
2022.06.10,0,羡慕了[酸了]
2022.06.08,0,我上了一个假大学
2022.06.07,0,这对小学生而言有些幼稚，可对我们这些高中生，大学生，打工人而言刚刚好，因为我们无法拥有青春与对青春的感悟，他们的疯狂只是对即将失去的青春最后的燃烧
2022.06.05,0,不是所有学校都这么嗨，只有一小部分老师和学生玩到一起的，才能这么嗨。
2022.05.31,0,羡慕[委屈][大哭]
2022.05.30,0,唉，专科一辈子都不要想有这种氛围了，每天踏马不是打游戏就是打游戏[捂脸]
2022.05.29,0,突然想起件事，已经到这一届大学生了，海贼王还是没有完结。[微笑]
2022.05.27,0,怎么没有高领大人
2022.05.27,0,突然觉得男孩子真可爱
2022.05.26,0,呜呜呜呜许愿我去的大学有皮套人
2022.05.24,0,青钢影打篮球那个笑死我了
2022.05.23,0,搁这甜美跳个der啊，爷的铠甲勇士呢？
2022.05.23,0,我怀念的
2022.05.23,0,我们在羡慕当代大学生生活的时候，我们到底在羡慕些什么呢，是大家还有力气去疯还是能追的上风的年纪，是那段时光还是风华正茂的他们，或者淡淡度过大学的我们也这样年轻过呢[思考]
2022.05.22,0,帝皇就离谱~
2022.05.22,0,?
2022.05.22,0,高中的时候有这个气氛，到大学反而没了
2022.05.21,0,哎，说实话，让我想起了封校那段时间我穿的长衫
2022.05.21,0,学校生怕本校学生聚集久了团结了又整活儿，什么活动都不允许
2022.05.21,0,卧槽，打拳击那个护具都没戴对着头糊啊
2022.05.20,0,都答完辩了也没回去学校
2022.05.20,0,这一届学生又经历了一个特殊的年代
2022.05.18,0,《别人的大学生活》[坎公骑冠剑_晚安]
2022.05.17,0,年轻真好！
2022.05.17,0,这个关灯绝了呀笑死了我看了三遍
2022.05.16,0,惆怅的点了根烟，看视频笑着笑着就突然想到回不去了
2022.05.16,0,我思来想去过了一个月，决定做点什么，翻个身，把灯灭了[未来有你_好耶]
2022.05.15,0,"啊好啊，封校……
可是我们封寝，淦"
2022.05.14,0,这生活和封不封校没关系，不封校更开心，希望别赞颂苦难
2022.05.14,0,"推荐通知书
        尊敬的up主，您好，由于您的作品过于出色，现已于推荐页面可见，希望您的作品能做得更好。
                                 bilibili覌众认证?"
2022.05.14,0,原来封控区需要时王来守卡口啊[笑哭]
2022.05.14,0,慕了慕了
2022.05.14,0,学校封了学生也疯了[doge]
2022.05.13,0,音乐是什么？
2022.05.13,0,跟我大学生活一模一样
2022.05.13,0,@佳怡老师 快看hhh
2022.05.13,0,三年没有封过一天的学校，我才是最快乐的大学生！！！[doge]
2022.05.13,0,bgm是啥
2022.05.13,0,要是我们封校多好啊[酸了]
2022.05.13,0,好羡慕啊，我也想这样，可是没人陪我疯[大哭][大哭][大哭]
2022.05.13,0,素材是哪的
2022.05.13,0,@19910310yyds
2022.05.13,0,"这是大学的生活
不是带专"
2022.05.12,0,真羡慕这样的氛围……
2022.05.12,0,打工人实名羡慕了[酸了]
2022.05.12,0,想到年我们宿舍在一起看海绵宝宝
2022.05.12,0,封校的时候学校也给我们在操场搞趴，大概七八点开始的，我听室友说特别嗨，但是我那个时候不知为啥睡死过去没有去玩了[笑哭][笑哭]
2022.05.12,0,这个应该是没有疫情前的吧[微笑]
2022.05.12,0,河大这个广场舞真滴不错
2022.05.11,0,年轻真好
2022.05.11,0,视频和BGM很配，之前单听就没感觉
2022.05.11,0,吃瓜吃到自己学校
2022.05.11,0,出来后看着这种还是羡慕的 但你真要我再回大学我还是窝宿舍睡觉打游戏[原神_喝茶]
2022.05.11,0,我的大学生活全是DNF和LOL[大哭][大哭][大哭]我也想有个精彩的大学生活！
2022.05.11,0,我可以教你真正的社死，成本不高，一支红笔一张A4纸，在较左的地方画一个中等的实心圆，在实心圆周围画上几条粗的射线，这样就画好了，保证出名，运气好的还送银手镯呢[吃瓜]
2022.05.11,0,@航宁 假面骑士快来
2022.05.11,0,弹幕里是谁在迪迦那里评论了一个赛罗啊[doge]我看了两遍都没看见赛罗
2022.05.11,0,还好吧，我们封校没地儿去。操场上全是人，跳舞的唱歌的多着呢。
2022.05.11,0,求bgm [星星眼][星星眼]
2022.05.11,0,高三生封校，就别提了
2022.05.11,0,封校好像觉醒了什么傻吊属性[笑哭]
2022.05.11,0,"三天一小喝
五天一大喝
我学校封校现状"
2022.05.11,0,真羡慕他们啊。我毕业一年了都。
2022.05.10,0,为什么俺的学校不这样[大哭]
2022.05.10,0,让我们享受青春
2022.05.10,0,笑死封在寝室根本出不去
2022.05.10,0,那个说宿舍阿姨试试，可能是满楼亮灯安排上[doge][doge]
2022.05.10,0,在这疫情横行的年月里，无忧无虑的大学生算是最幸福的一群人了，可惜我不是[双生视界_祈祷][双生视界_祈祷]
2022.05.10,0,狗疫情，大二整个学期烂在宿舍里[辣眼睛]
2022.05.09,0,[偶像梦幻祭2_盯]
2022.05.09,0,@二十瑛 真不戳
2022.05.09,0,初三表示很期待[星星眼]
2022.05.09,0,求赞[鼓掌]
2022.05.09,0,社恐的噩梦，但是我也喜欢在远处看着热闹的人们，只是不敢融入进去
2022.05.08,0,苦中作乐了属于是
2022.05.08,0,封校没手机＝死——————————
2022.05.08,0,我猜基本上都是高校吧
2022.05.08,0,毕业太早了，还是现在的年轻人会玩[喜极而泣]
2022.05.08,0,各位大哥给我视频点个赞吧
2022.05.08,0,别人的大学生活
2022.05.07,0,不是不允许聚众吗
2022.05.07,0,别人家的大学[酸了]
2022.05.07,0,"整个片子全看完了，心里有很大触动，迸发出无数的热情，让我有一种感觉一定要做点什么的激情!

于是，我在床上翻了个身

然后发现充电器太短又翻回来了[doge]"
2022.05.07,0,干得漂亮
2022.05.07,0,[团宝][口罩][doge][保卫萝卜_哇][来古-震撼][原神_欸嘿]
2022.05.07,0,真好啊，转眼毕业几年了
2022.05.06,0,真羡慕这些人啊，至少还有人和他们一起疯。放眼望去我的身边空无一人
2022.05.06,0,打篮球还带连招的？
2022.05.06,0,这不挺好的吗[大笑]
2022.05.06,0,大学因为疫情'在家两年，转眼就要毕业了[辣眼睛]
2022.05.06,0,视频不错，bgm给我听吐了纱布
2022.05.06,0,啊这，封校不都呆在宿舍等死吗？
2022.05.06,0,不热吗这
2022.05.06,0,《校园聚集性感染》[doge][doge][口罩]
2022.05.06,0,唉，感觉我上了个假大学
2022.05.06,0,封面好酷[喜欢][喜欢]
2022.05.05,0,哈哈哈哈。请为我亮灯
2022.05.05,0,青春真好啊
2022.05.05,0,声音可以再大一点[微笑][微笑]
2022.05.05,0,@超人h不会飞 他们好快乐[呆]
2022.05.05,0,没有体验过，有点遗憾
2022.05.04,0,想念大学生活了
2022.05.04,0,别的学校是封校，我们这是封寝[笑哭]
2022.05.03,0,第521条评论见证520评论
2022.05.03,0,毕业了，才发现前几年那种平常日子是多么的难得[大哭]
2022.05.03,0,羡慕
2022.05.03,0,有效劝学
2022.05.03,0,1
2022.05.03,0,封校装备咋弄的[doge]
2022.05.03,0,青春真好呀
2022.05.02,0,灯我裂开了
2022.05.02,0,看得挺高兴的，但一想到我已经工作了而自己大学的时光全耗在宿舍里打游戏，笑容消失了[大哭]
2022.05.02,0,学校和人总得封一个的，对吧[doge]
2022.05.02,0,卧槽 看到了我们学校
2022.05.01,0,青钢影：优雅，永不过时
2022.05.01,0,BGM是什么，谢谢大家
2022.05.01,0,楼上的小姐姐们，喜欢我请不要给我点赞[滑稽]
2022.05.01,0,我的帝皇侠呢？
2022.05.01,0,这皮套值不少钱吧？
2022.05.01,0,看《爆笑虫子》下饭？？？
2022.05.01,0,1.49
2022.05.01,0,好羡慕大学生活啊，我没上过大学[酸了]
2022.05.01,0,我高二，现在好期待大学生活
2022.05.01,0,我是2020年畢業的，剛好不用回學校[大哭]
2022.05.01,0,我的大学生活很安静
2022.05.01,0,仿佛看到了自己[嗑瓜子][嗑瓜子][嗑瓜子]
2022.05.01,0,我的大学生活很安静
2022.05.01,0,仿佛看到了自己[嗑瓜子][嗑瓜子][嗑瓜子]
2022.04.30,0,@顺顺st @一群冤种朋友 @噗滴biu和一群冤种朋友
2022.04.30,0,青春仅几年，疫情占三年
2022.04.30,0,最左面的女生怎么了？
2022.04.30,0,@-远方崇拜-
2022.04.30,1,"“下次一定”这四个字是真的挺打击创作者心情的.....
哪怕就算知道这可能只是粉丝发着玩，但心里也会想七想八，想着是不是有的人会当真啊，会不会真的不投币点赞啦之类的
对于UP来说，点赞数是5000还是5100或许并不会有太直观的区别，但是当up回头看自己的作品时，可能区区一条弹幕就足以影响心情，那更何况是满屏的下次一定......
只能希望大家在up要三连的时候，请发一句：
“用的座机”[保佑]"
2022.04.30,0,天才越多的学校，越欢乐
2022.04.30,0,和我又有什么关系
2022.04.30,0,大学是一个美好的回忆 毕竟有太多儿子了[脱单doge]
2022.04.30,0,[吃瓜]
2022.04.29,0,BGM叫啥哈
2022.04.29,0,他们好快乐，可惜我学校没有
2022.04.29,0,这个音乐是啥
2022.04.29,0,视频里的快乐都与我无关[原神_哼]
2022.04.29,0,你是女的吗？是女的我不要哦[doge]
