时间,点赞,评论
2022.04.12,59,还是旧十年好看，是吧？兄弟们
2022.06.12,17,高考完对看了这个视频对大学无限憧憬[呲牙][呲牙]
2022.04.15,84,我从小学到高中一直很内向，不敢跟人说话也没人和我说话，到毕业了都没人知道我是谁，提到名字还会问我们班有这个人吗
2022.04.14,12,[囧]只有我封校在宿舍里坐了一个月吗，虽然平时也是一直坐宿舍里画画[捂脸]
2022.04.13,52,最后那个“以上情节不会出现的”扎心了[喜极而泣]
2022.04.13,51,我发现就我的大学生活最没意思
2022.04.13,12,假的，都是假的，为什么一个我都没有见过[doge]
2022.04.13,12,"一代人终将老去，但总有人正在年轻！
别拦我，去上学了🎒！！！"
2022.04.13,51,感觉漫展外见到的特摄coser都身材好好[羞羞]当然漫展也不是没有就是了
2022.05.22,10,看这个视频的恐怕一半都是冲着卡面来打来的[doge]
2022.04.13,10,29岁的社畜好羡慕他们[呆]
2022.04.09,50,我也想去大学，但是还要等两年呜呜呜
2022.04.13,45,我们学校举办卡拉OK，操场露天的，谁都可以上去点歌唱，第一天举办的时候还有一个哥直接当众表白来着[笑哭]
2022.05.01,8,这些东西对小壆生来说到底还是太幼稚礼物，，，，，不过对大学生来说就刚好[妙啊]
2022.04.13,8,毕业等于退休，提前进入老年生活
2022.04.13,8,加油啊，没有两个月了
2022.04.12,43,封校之后干了啥呢，玩了快乐向前冲 ，跳了广场舞和蹦迪，围在一起唱唱歌，丢沙包丢手绢跳房子，好像童年回来了[羞羞][保卫萝卜_哭哭]
2022.04.12,46,股票绿光挠秃头啊[大哭]
2022.04.13,40,参加学校一些艺术性的组织社团，好好投入和参与，虽不能说如诗如画，但你的大学生活一定会是和你曾经幻想的那样充满激情和悸动。
2022.04.15,40,好羡慕啊[大哭]也想要这种能一起疯一起闹的舍友同学，和宿舍不是一个班的，上下课不一起，每晚从图书馆爬回去看到的活的东西都窝在电脑桌前，一天连句话都说不上几句
2022.04.13,7,“别人的校园生活”
2022.04.08,7,哎，真羡慕啊
2022.04.12,40,羡慕，大学的休闲时光转瞬即逝，已经在搬砖了[笑哭]，但视频还是带给我快乐了，[热词系列_三连]
2022.04.13,9,笑了有的大学还没开学[微笑][辣眼睛]
2022.05.11,6,中国人还是很会苦中作乐的
2022.04.13,6,好羡慕上大学啊[难过][酸了]
2022.04.12,6,这些有没有可能没封校的时候就这样[doge]
2022.04.12,36,封校真的难受，开学到现在一直在宿舍里上网课，快递停了，楼下小卖部也关了，几乎天天做核酸，最重要的是宿舍WIFI坏了空调坏了都没人来修[蛆音娘_吐血][蛆音娘_吐血]
2022.11.15,5,我有预感哦，从现在开始，你会逢考必过，会有自己的猫猫或者小狗，痘痘会慢慢消失，皮肤会变白，怎么吃都不胖，会越来越好看，喜欢你的人会向你表白
2022.04.12,5,封面呢，我要看的是假面[傲娇]
2022.04.09,5,我是看到封面才进来的
2022.05.12,4,第一个是我们学校我们宿舍楼的我来认领下
2022.04.14,4,他们大学封在学校，我们大学在家里上网课，没开学，哭了[辣眼睛]
2022.04.13,4,有人被学校封在里面的同时，我就被学校封在学校外的家里，想进都进不去[捂脸]
2022.04.12,4,羡慕啊，大学我宿舍跟网吧一样，天天开黑哪有那么多户外活动[笑哭]
2022.10.08,3,这真的是大学的生活吗？为什么感觉跟我的不一样呢[囧][囧][囧][喜极而泣][喜极而泣]
2022.07.19,3,笑着笑着就哭了~
2022.05.13,3,真的好开心，我当时的宿舍就没这么开心过[酸了]
2022.11.15,2,看看人家的大学，再看看自己的[难过]
2022.09.26,2,这些学校氛围是真的好[给心心]
2022.06.29,2,笑着笑着就哭了，再也回不去了
2022.05.28,2,这是50%人感受不到的，我们这些人大学都考不上
2022.05.14,2,大学真的很开心
2022.05.11,2,《返璞归真》
2022.05.11,2,宿舍之父，一个人给五个儿子带饭[妙啊][妙啊]
2022.05.06,2,@杨仔在追番 快看快看
2022.04.17,2,真羡慕你们的大学生活[呆]
2022.04.14,2,啊啊啊啊好欢乐 特摄厨狂喜
2022.04.13,2,看了一下午龙王，看谁都像龙王
2022.04.13,2,[妙啊]
2022.04.13,2,出校的表示羡慕
2022.04.12,5,呃，你们是封校可以这么玩，我们封寝的怎么办[大哭]
2022.04.09,2,我的未来式由我做主[打call][打call]
2022.04.14,2,"我的大学三点一线，教室自习室餐厅寝室。。
前几天操场有节目表演和各种活动(学校因为我们封校太闷而开的活动)，去操场看了几个小时，感觉与他们虽然在同一个学校，但却不在同一个世界(´；ω；`)"
2022.11.18,1,其实人的精神状态也没有那么不好，我觉得炒回锅肉的时候就应该用95号汽油，毕竟这个光合作用产生的蛋白酶会导致全球变暖，所以工兵在华容道排雷的时候被秦始皇带着机甲埋伏了，每次将军的时候他们骑的马就会释放大量的带电粒子，引发能量乱流，导致地里的白菜减产，从而影响华尔街煎饼卷大葱的销量……我精神状态挺好的呀，我神状好挺态精的呀，精我态神的呀状好挺，好态我的精神呀挺好，挺我状精好态神的呀。对啊对啊，我没疯啊，我疯没啊，我啊疯没。上勾拳！下勾拳！左勾拳！扫堂腿！回旋踢！龙卷风摧毁停车场！羚羊蹬，山羊跳！乌鸦坐飞机！老鼠走迷宫！大象踢腿！愤怒的章鱼！
2022.11.15,1,不过是那时的小学生啊[大哭]
2022.11.13,1,《戏敌降临》
2022.10.26,1,乂，一晃我都毕业9年了啊[辣眼睛]
2022.10.16,1,医学生封校，早上八点图书馆门口排队
2022.10.04,1,大二，目前在家网课，返校遥遥无期。。。。
2022.09.19,1,有没有在学校开过卡丁车的[滑稽]
2022.09.17,1,不知道该羡慕还是幸运，19年末就有疫情了，但我当年就已经毕业了。
2022.08.30,1,我的未来室友我做主[脱单doge]
2022.08.29,1,封校就是苦中作乐，封校本人真遭人恨
2022.08.29,1,我是来看卡面来打的[吃瓜][吃瓜][吃瓜]
2022.08.27,1,我的未来室友我做主[doge]
2022.08.21,1,那几个来打身材好好[脱单doge]
2022.08.16,1,生活再難也要積極面对，懂得苦中作樂才能輕鬆过関。🤩
2022.08.11,1,大四刚毕业的看着好舒服[微笑]
2022.08.03,1,我们学校但凡像这样的人哪怕只有百分之四十，还玩什么手机，还找什么女朋友，出去玩嗨[doge]
2022.07.29,1,1分21秒封面[OK]
2022.07.19,1,就，去年忻州不是没那么严重么，不到封校的程度但校方也不让学生随便出去，但校门口附近的铁栅栏有个坏的，破了个大窟窿，学生经常从那个地方跑出去，暑假完了学生们回来了发现校方把那个窟窿焊上了，结果没过几天又破了，一打听，原来是几个机电系的哥们人狠话不多又给拆了…[笑哭]
2022.06.29,1,随便网上找几个视频，然后配个bgm投自制😋
2022.06.25,1,。。。。
2022.06.11,1,怀念校园生活
2022.06.10,1,都是别人的生活，别人的学校，别人的天赋 啥都是别人的 太难了[辣眼睛]
2022.06.08,1,真的好青春好羡慕
2022.06.07,1,我刷到我室友了[脱单doge][脱单doge]
2022.06.04,1,封面：集体去打夜骑
2022.05.20,1,躁动的骑士
2022.05.18,1,真的后悔出国，跟老外合不来，大一过了就是疫情基本不敢出去，没有丝毫大学体验
2022.05.16,1,真好，可惜我只能羡慕
2022.05.14,1,@情词温
2022.05.14,1,羡慕了，我们宿舍跟我都不是一个圈子的大学过得像坐牢[捂脸]
2022.05.14,1,@水乱七八糟质
2022.05.13,1,最痛苦的明明是我们这种回不去学校的，看着大家这么欢乐呜呜我也想跳广场舞
2022.05.13,1,高中生表示，我跟朋友们也在学校玩老鹰捉小鸡还有一二三木头人，还有卷白菜，哈哈哈哈哈很快乐[打call]很期待大学，高中会很苦，但值得[口罩]
2022.05.13,1,18年没封校我们就钓学校的鱼回宿舍打火锅了
2022.05.13,1,读书是真有用啊，带专根本没这种环境，室友就一群天到晚玩电脑看动画片的[tv_再见]
2022.05.12,1,其实高中生封校也这样的[doge]
2022.05.11,1,:-(   去年毕业的我好想重回大学啊
2022.05.11,1,为什么还有人指着龙牙喊龙骑的[辣眼睛]这么明显的颜色区别都认不出吗
2022.05.11,1,上了大学确实是这样的 [OK] 大家加油
2022.05.11,1,我也想这样沙雕……当时没有可以一起沙雕的朋友……
2022.05.11,1,[tv_色][热词系列_爷青回][热词系列_排面][热词系列_芜湖起飞][热词系列_燃起来了][热词系列_秀][热词系列_吹爆][热词系列_标准结局][热词系列_打卡][热词系列_可以][热词系列_爱了爱了][热词系列_奥力给][热词系列_爷关更][热词系列_完结撒花][喜欢][胜利][坎公骑冠剑_吃鸡][无悔华夏_好耶][保卫萝卜_笔芯][无悔华夏_不愧是你]
2022.05.08,1,真好啊[无语][无语][无语]大学生封校不是最惨的，至少可以操场嗷嗷闹。最惨是我们学校这种，没开学！然后把我们提前回来的封校里头了，80%同学都在家里躺着呢。。。。宿舍楼一共也看不到什么人，操场找人嗨都没人
2022.05.06,1,“当代青年现状”[doge]
2022.05.05,1,这要真的说，万一的万一来了个真红码，那岂不是。。。[doge]
2022.05.04,1,即使封校也请不要聚众活动，正常上下课回宿舍
2022.05.04,1,想起我刚刚当上社团干部却发现什么也没干，可怜的19级，直接被剥夺了大一的社团活动
2022.05.03,1,好多有趣的人
2022.05.02,1,为啥别人的大学都很欢乐，我的说不上孤独，但我很独立。。。独自欢乐吧[OK]
2022.05.02,1,好羡慕 每次看别人拥有欢乐的时光 而我自己什么都没有 只能活在网络上[酸了]
2022.04.30,1,"学校封了[口罩]
高三疯了[doge]"
2022.04.30,1,我要投诉！！！点开这个视频在图书馆憋不住笑出来后被赶了出来[doge]
2022.04.30,1,五一了，还有30多天高考，越来越期待大学了，加油（[热词系列_三连]）
2022.04.29,1,"🦟
怎么有蚊子？"
2022.04.28,1,唉，毕业两年了，好怀念大学生活
2022.04.28,1,文华打卡集合啦！！
2022.04.26,1,@HonMuo 我们也这样吧[脱单doge]
2022.04.26,1,出了校门别说我认识你们
2022.04.25,1,虽然疫情给很多人都造成了困扰，但总有人让无聊的隔离生活变得有趣，既然哭或笑都是一样的境况，那还不如苦中作乐。
2022.04.24,1,开头仨没看出区别[藏狐]
2022.04.24,1,很后悔没有上大学，这会是我人生的一个遗憾！！
2022.04.23,1,年轻真好啊
2022.04.21,1,[呲牙][呲牙][呲牙]
2022.04.21,1,我的老师说过，大学是学生时代最快乐的，好羡慕现在在上大学的人
2022.04.21,1,苦中作乐
2022.04.21,1,简直了就是玩[doge]
2022.04.20,1,我是看到封面才进来的
2022.04.18,1,这是封校憋疯了，就差出动奥特曼哥斯拉和巴拉巴拉小魔仙就凑齐活了[doge]
2022.04.18,1,还有两个月毕业了 好好珍惜最后的大学时光！
2022.04.18,1,@宅仙女本尊
2022.04.18,1,以后就是00后的大学了。90后会很少了 （不排除上学晚的）因为我是90后最后一批[大哭]毕业了
2022.04.17,1,哈哈
2022.04.17,1,真的是太真实了吧，我一个高中生，关了40天，感觉所有人都有心理疾病了[doge]
2022.04.17,1,哈哈哈哈
2022.04.17,1,真想说，大学，真没这么快乐，大概跟大号高中差不多吧
2022.04.17,1,好羡慕呜呜呜 目前就很无聊 一直无聊 也没朋友 封校也出不去 好难过啊
2022.04.17,1,哈哈哈哈哈哈这都能看见lupin[脱单doge][脱单doge]
2022.04.17,1,他们为什么不打游戏？是没有电脑吗？[脱单doge]
2022.04.17,1,封面呢？[热词系列_知识增加]
2022.04.16,1,和这些人在一个宿舍一定很快乐吧哈哈哈哈
2022.04.16,1,"你在封面放了特摄
标签里面却没有特摄
你究竟是什么人
（顺便建议把封面换成性感初代（就是那个奥特曼）可能吸引数量更多）
[doge][doge][doge][doge]"
2022.04.16,1,真羡慕啊。 那么多年了
2022.04.16,1,因为疫情分手了，很难过，我就决心要改造自己，然后就怂恿舍友健身运动，现在一进宿舍就像进了健身房，充斥着哲♂学的气息，还发出各种哲♂学的声音[口罩]
2022.04.16,1,"转角不一定遇到爱情，但是会碰到疫情。
我吹过你吹过的风，这算不算相拥，算，属于密接。
我走过你走过的路，这算不算相逢，算，属于次密接。"
2022.04.16,1,在疫情隔离点观看这这个期视频[囧]
2022.04.16,1,我的未来室友我做主[doge]
2022.04.16,1,我的室友未来我做主[原神_欸嘿]
2022.04.16,1,真滴有味[笑哭]
2022.04.16,1,年轻真好啊
2022.04.15,1,"女寝：热血高校古惑仔
男寝：甄嬛传如懿传重生之我是宫斗王后"
2022.04.15,1,欲练神功，必先自封[奋斗]
2022.04.15,1,自报年级的是小学生吧
2022.04.15,1,难道……只有我还没开学？？？？[疑惑][疑惑]
2022.04.15,1,看他们大学生活这么欢乐，想起自己大学放假或者休息基本都在寝室打游戏要么去网吧，唯一一次出去玩还是大一刚开学那会和高中同学去逛景点，室友除了一个社牛的宣传部部长，其他几个包括我在内的“社恐”都不怎么喜欢出去玩[笑哭]，平时都窝在寝室打游戏，偶尔一起去逛逛商场，顺便吃个火锅，现在毕业了想想还挺怀念的[酸了]
2022.04.15,1,刚看完爱情公寓10年前试镜，歌就来了！好👌🏻
2022.04.14,1,有没有一种可能看这个视频的也是封校大学生[doge]
2022.04.14,1,还有50多天高考，希望9月可以去东师大跟学哥学姐一起疯[奋斗][奋斗][奋斗]
2022.04.14,1,在学校连上六个星期，大家的脑子都发生了点变异
2022.04.14,1,BV1TL4y1L7XC
2022.04.14,1,社畜看这个，不是因为封校，是我逝去的青春
2022.04.14,1,1.25封面
2022.04.14,1,互赞
2022.04.14,1,别人的学校
2022.04.14,1,"www.bilibili.com/blackboard/redpack/power_share.html?&8555&token=e452b081f4a64dc281c7d0752a53e58b
听我说谢谢你谢谢你[doge]"
2022.04.14,1,封面党 踩
2022.04.14,1,大学牲在家函授，表示视频里的内容与此无关，所以你什么时候开学@北京交通大学
2022.04.14,1,坐标山东某高中，我们高三一个年级被封在学校里40天，在没有网络极度无聊和压力极大的情况下拿废试卷和空牛奶盒搓了个保龄球出来，然后又捡了两块长条木板，稍微用胶带加固了一下，拿来打棒球了，还有人拿直木棍当桌球杆搓桌球，然后我们学校有个两亩地大小的人工湖，里面养了很多鱼，我们班一同学脑洞大开，拿“桌球杆”绑上鞋带然后用曲别针做了跟鱼竿，去餐厅买了根玉米，收集了下雨天从泥地里钻出来的蚯蚓就去钓鱼了，意想不到的是真能钓着（从此钓鱼吧多了一个熟悉的ID），还特别大，因为没人喂食，所以那里的鱼饿到你往湖里吐口唾沫它都得浮上来尝两口的程度。
2022.04.14,1,博学笃志，本立道生[脱单doge]
2022.04.13,1,好快乐哦，我们都已经是封寝了，快一个月没有出过寝室楼，好想去外面散散步啊……
2022.04.13,1,校封了，人也疯了[歪嘴]
2022.04.13,1,该用户未做出评价，系统已默认好评！
2022.04.13,1,被封在家里上网课了[辣眼睛]
2022.04.13,1,这么活跃么！我们这边封校都在赶作业[喜极而泣]
2022.04.13,1,这！就是青春！
2022.04.13,1,来大学之前以为像这样，来了之后根本就……宿舍烂任务重，舍友拘谨，整个系有相同爱好的找不到第二人[辣眼睛]
2022.04.13,1,假面来打1分25[辣眼睛]
2022.04.13,1,@幽幽北溟
2022.04.13,1,瞅我的关注、收藏，都不错哟，关注[口罩]
2022.04.13,1,"初二看大学来疯,明天就要去上学了，赶作业"
2022.04.13,2,“疯校”[抠鼻]
2022.04.13,1,标题建议改为“每天一遍，快乐无限”[点赞]
2022.04.13,1,发生什么事了？
2022.04.13,1,青春真好！[保卫萝卜_哇][保卫萝卜_哇]
2022.04.13,1,这都谁的学校啊，建议报上校名认领一下，很好奇[doge][doge]
2022.04.13,1,现在的学生能玩的东西真是五花八门[脱单doge]
2022.04.13,1,这个音乐绝配，疫情虽然严重 但是依然无法压制我们内心的青春！[吃瓜]
2022.04.13,1,这就是青春，大学没有几次社死，都不好意思说自己有过青春[热词系列_知识增加]
2022.04.13,1,“青春才几年，疫情占三年”，可是回过头来看一下，却发现，疫情也早已经成为了我们青春的一部分，不是不可或缺，只是如果没有，平凡的我们也就不会如此精彩
2022.04.13,1,@黑洲儿 来看！
2022.04.13,1,翘课 睡懒觉 找人帮忙点名，确实很快乐[笑哭]
2022.04.13,1,就多少间学校封啊？说的好像全国学校都封了一样，我们这都是正常上学啊……[辣眼睛][辣眼睛][辣眼睛]
2022.04.13,1,其实吧，我就算不封校我也会这么做
2022.04.13,1,毕业了还是有点怀念呀
2022.04.13,1,滑翔那个好爽[星星眼]
2022.04.13,1,当年没注意歌词有问题[doge]吸一口纯氧不会漂浮，但会死[藏狐]
2022.04.13,1,我的未来室友我做主[热词系列_知识增加]
2022.04.13,1,太行了
2022.04.12,1,别人的大学[大哭]
2022.04.12,1,要毕业了 好好珍惜现在的校园生活
2022.04.12,1,[热词系列_打卡]
2022.04.12,1,好熟悉的常德话
2022.04.12,1,"上大学前，男高中生和女高中生
上大学后，沙雕大学生
[吃瓜]"
2022.04.12,1,众所周知，大学四年封校四年
2022.04.12,1,年轻人的精力是真旺盛啊[妙啊]
2022.04.11,1,那个滑翔那个是中国地质大学[嗑瓜子]
2022.04.10,1,@无知的瓦
2022.04.10,1,绝绝子
2022.04.10,1,第二张不是畅子么[doge]
2022.04.09,1,木了慕了[tv_doge]
2022.04.09,1,还得看兰州好吧，小烧烤[doge]
2022.04.08,1,[支持]
2022.04.08,1,艹
2022.05.12,2,@乌阳- 以后我们考一所大学吧，这样我发疯有人陪我哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
2022.04.13,2,基本都是抖音视频，而且还投自制，B站让你玩明白了
2022.05.04,1,看到假面骑士那块有条弹幕说，有的人戴上面具实际上是摘下了面具，果然B站弹幕区全是哲学带师[妙啊]
2022.04.13,1,弹幕飘过一个四大彩纸给我人笑傻了[藏狐]
2022.05.10,0,哈哈，都疯了
2022.11.22,0,放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了放假了
2022.11.20,0,好羡慕别人的大学生活，我的大学生活死气沉沉
2022.11.20,0,真美好啊
2022.11.16,0,这么一看我在宿舍里跳宅舞正常多了[脱单doge][脱单doge]
2022.11.16,0,这就是我的大学生生活呀
2022.11.15,0,“查寝！”“我靠，健身房吗”
2022.11.14,0,给你们点赞[猫雷Nyaru_可爱]
2022.11.14,0,给我们的当代大学生点个赞
2022.11.12,0,@叶阿兮
2022.11.06,0,@抹香鲸在博帕尔写作业 天呐哈哈哈哈哈哈哈哈哈哈哈哈
2022.11.06,0,[doge][doge]我已佛系 高三的话 以后是个大学就行 开心最重要[脱单doge]
2022.11.05,0,啊~突然怀念大学生活，操场上唱歌弹吉他的同学，打球的，湖边散步的……那个时候的快乐真的很简单
2022.11.02,0,好怀念大学生活
2022.10.25,0,好想继续上大学啊[大哭]
2022.10.21,0,@兰瓶笑笑生
2022.10.19,0,[热词系列_知识增加]
2022.10.19,0,@脑细胞死大半
2022.10.19,0,气死我了我研一也要继续疯！！！！！
2022.10.18,0,大学这么好吗[热]我没去过
2022.10.18,0,神主21[脱单doge]
2022.10.17,0,@幼儿园繁小锦
2022.10.17,0,怎么会有人封校还这么快乐啊
2022.10.08,0,准大一，至今还在上网课
2022.10.07,0,自从有了视频平台，这种沙雕大学生就多了，同时能怀念的过去也更多了。[偷笑]
2022.10.07,0,"很欢乐，很美好，很幸福，
可是我再也没有机会了……"
2022.10.06,0,如此廉价的快乐不多见了[doge]
2022.10.05,0,致敬我们逝去的青春
2022.10.03,0,突然有点想哭
2022.09.24,0,引体向上有bv号吗[脱单doge]
2022.09.23,0,少年时驰骋的风，比黄金都贵啊
2022.09.23,0,疫情还我大学生活[大哭]
2022.09.22,0,我好羡慕
2022.09.22,0,想到今年国庆又回不了家，不禁感慨万分[tv_目瞪口呆]
2022.09.15,0,这样子的大学生活我只体验过半年，后来的时光全是疫情，现在也已经实习去了，再也没有大学时光了[捂脸]
2022.09.14,0,孩子想开学了，快点[大哭][大哭][大哭][大哭]
2022.09.14,0,真羡慕，可惜不再年轻
2022.09.13,0,记忆最深的是我们班拍毕业照那一天，大家都知道过不了多久就会各奔东西，再去回想在宿舍的几年非常触动
2022.09.10,0,论人吃饱了能干出什么事[doge]
2022.09.10,0,羡慕上过大学的
2022.09.09,0,为什么其他大学那么多帅哥
2022.09.08,0,我的未来舍友我做主，这个真的很难蚌住[热词系列_妙啊]
2022.09.04,0,我们学校有一片竹林，那里面的笋都被薅光了。然后第二天学校就发了紧急通告，就是说不许挖笋[doge]
2022.09.04,0,卡面来打
2022.09.02,0,我想要
2022.08.29,0,感觉当年大学白活了
2022.08.25,0,我的未来室友我做主[妙啊]
2022.08.24,0,那天夕阳下奔跑的，是我逝去的青春啊
2022.08.23,0,小学打卡[脱单doge]
2022.08.17,0,毕业一年了55555555
2022.08.14,0,来看假面骑士[doge]
2022.08.04,0,美好的大学生活，这一晃过去快小十年了，大学真的是我生命当中最快乐的一段时光
2022.07.30,0,水然大学没什么可回忆的，但高中不是也没有吗[支持]
2022.07.28,0,音乐是什么啊
2022.07.28,0,音乐是什么啊
2022.07.25,0,我的未来室友我做主[妙啊]
2022.07.25,0,我超，2分钟那个是升达的
2022.07.23,0,我的未来室友，我做主[doge]
2022.07.22,0,应届生看到这个又想回学校了
2022.07.20,0,今年毕业了，看着看着突然很想念我寝室里的七个女儿
2022.07.16,0,疫情前一年刚刚毕业……
2022.07.16,0,我们学校：疫情期间请同学们不要聚集
2022.07.16,0,CD状现
2022.07.16,0,想问一下一个正常的假面骑士皮套要多少钱，我看淘宝上面贵的贵得离谱，便宜的便宜的离谱
2022.07.16,0,求个封面图
2022.07.10,0,不知道为什么，我刚刚把标题看成了交大学生封校行为大赏，吓我一跳，我还以为是个个交通大学的学生的视频合集，还以为自己要社死了
2022.07.05,0,真好啊 青春
2022.07.04,0,哈哈哈哈哈
2022.07.03,0,"封校现状就是宿舍就一个人，天天给我们发微信。

我和其他人都封家里了。

暑假了。完全没感觉，在家半年了"
2022.07.02,0,来打厨狂喜！！！
2022.06.29,0,没经历过，也没机会了。
2022.06.28,0,卡面来打
2022.06.28,0,落榜复读了
2022.06.27,0,我也不想三连诶，可是他配爱情公寓的歌诶[大哭]
2022.06.26,0,咱就说一个合格的封面能骗了多少人
2022.06.25,0,艹，看得我好羡慕，呜呜呜呜呜我
2022.06.20,0,祝中考的朋友们都有理想的成绩，咱用满分七百考了649的成绩祝福一下大家[呲牙]
2022.06.19,0,一个莫子流水线生产出来的颓废一代，一定是蹲站茅坑拉不出屎的一代
2022.06.18,0,https://b23.tv/BV1zz4y1d7xk
2022.06.18,0,好消息，你看的股票全红了，坏消息，你看的是美股
2022.06.15,0,@Srtop
2022.06.11,0,青春啊
2022.06.10,0,@今天想嗑糖 @木卿木
2022.06.08,0,666
2022.06.07,0,一开始他说他要玩跳房子我还疑惑为啥要带降落伞，直到他带着我来到了天台，他让我⻊
2022.06.07,0,大四毕业寝室最后一个月打卡
2022.06.06,0,2分03秒，刷到了我的学校。
2022.06.05,0,初三打卡
2022.06.05,0,@柯柯柯柯-宝
2022.06.05,0,这帮比在宿舍不戴口罩么[妙啊]
2022.06.05,0,被子脸盆舞狮好像是我武理的同学哈哈
2022.06.05,0,我们一个宿舍就四个人，不够嗨
2022.06.04,0,爱情公寓！！！！投币了！！！
2022.06.04,0,宿舍之爹[doge][doge]
2022.06.03,0,第一次把爱情公寓主题曲听完
2022.06.03,0,！可以问问皮套哪里买的吗！！
2022.06.03,0,笑死了哈哈哈哈哈
2022.06.02,0,@梨西橙睡着了@卖洁西兔粮的小盆友
2022.05.31,0,龙骑！！我的最爱
2022.05.31,0,江南四大彩纸
2022.05.31,0,年轻真好
